Date,Year,Month,Quarter,DayOfWeek,Open,High,Low,Close,Volume,Daily_Return_Pct,Cumulative_Return_Pct,Annual_Return_Pct,Volatility_21D,SMA_7,SMA_21,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI_14,BB_Upper,BB_Mid,BB_Lower,BB_Width,ATR_14,OBV
2016-02-16,2016,2,1,Tuesday,1871.44,1895.77,1871.44,1895.58,4570670000,1.6517,1692.34,-5.82,1.4085,1861.0,1885.31,1963.17,2033.31,1878.37,1904.76,-26.39,-28.8824,2.4924,47.99,1944.94,1885.56,1826.18,0.063,37.5,870748010000.0
2016-02-17,2016,2,1,Wednesday,1898.8,1930.68,1898.8,1926.82,5011540000,1.648,1721.88,-4.27,1.3687,1867.68,1887.52,1960.71,2032.41,1885.82,1906.4,-20.58,-27.2219,6.6419,53.27,1949.95,1887.83,1825.72,0.0658,37.33,875759550000.0
2016-02-18,2016,2,1,Thursday,1927.57,1930.0,1915.09,1917.83,4436490000,-0.4666,1713.38,-4.71,1.3747,1876.88,1889.26,1957.23,2031.42,1890.75,1907.24,-16.49,-25.0756,8.5856,51.65,1952.73,1890.76,1828.79,0.0656,35.73,871323060000.0
2016-02-19,2016,2,1,Friday,1916.74,1918.78,1902.17,1917.78,4142850000,-0.0026,1713.33,-4.71,1.3441,1886.25,1892.05,1954.05,2030.56,1894.91,1908.02,-13.11,-22.6824,9.5724,51.64,1955.41,1893.2,1830.99,0.0657,34.36,867180210000.0
2016-02-22,2016,2,1,Monday,1924.44,1946.7,1924.44,1945.5,4054710000,1.4454,1739.54,-3.34,1.3715,1899.62,1895.69,1951.69,2029.89,1902.69,1910.8,-8.11,-19.768,11.658,56.39,1961.39,1895.13,1828.87,0.0699,33.97,871234920000.0
2016-02-23,2016,2,1,Tuesday,1942.38,1942.38,1919.44,1921.27,3890650000,-1.2454,1716.63,-4.54,1.339,1912.79,1896.37,1949.16,2029.06,1905.55,1911.58,-6.03,-17.0204,10.9904,51.61,1964.01,1897.34,1830.67,0.0703,33.41,867344270000.0
2016-02-24,2016,2,1,Wednesday,1917.56,1932.08,1891.0,1929.8,4317250000,0.444,1724.7,-4.12,1.2892,1922.08,1898.88,1946.71,2028.13,1909.28,1912.93,-3.65,-14.3463,10.6963,53.12,1966.85,1898.65,1830.45,0.0718,33.96,871661520000.0
2016-02-25,2016,2,1,Thursday,1931.87,1951.83,1925.41,1951.7,4118210000,1.1348,1745.4,-3.03,1.2767,1930.1,1901.17,1945.5,2027.36,1915.81,1915.8,0.01,-11.475,11.485,56.84,1973.79,1902.08,1830.37,0.0754,33.42,875779730000.0
2016-02-26,2016,2,1,Friday,1954.95,1962.96,1945.78,1948.05,4348510000,-0.187,1741.95,-3.21,1.2488,1933.13,1904.27,1944.02,2026.6,1920.77,1918.19,2.58,-8.664,11.244,56.04,1979.25,1904.82,1830.39,0.0781,32.26,871431220000.0
2016-02-29,2016,2,1,Monday,1947.13,1958.27,1931.81,1932.23,4588180000,-0.8121,1727.0,-4.0,1.2633,1935.19,1906.12,1941.8,2025.77,1922.53,1919.23,3.3,-6.2712,9.5712,52.6,1978.13,1904.42,1830.71,0.0774,31.84,866843040000.0
2016-03-01,2016,3,1,Tuesday,1937.09,1978.35,1937.09,1978.35,4819750000,2.3869,1770.6,-1.7,1.255,1943.84,1907.94,1939.9,2025.06,1931.12,1923.61,7.51,-3.515,11.025,60.26,1985.8,1906.37,1826.93,0.0833,32.86,871662790000.0
2016-03-02,2016,3,1,Wednesday,1976.6,1986.51,1968.8,1986.45,4666610000,0.4094,1778.26,-1.3,1.2563,1949.69,1910.18,1938.79,2024.38,1939.63,1928.26,11.37,-0.538,11.908,61.44,1997.63,1910.54,1823.45,0.0912,31.78,876329400000.0
2016-03-03,2016,3,1,Thursday,1985.6,1993.69,1977.37,1993.4,5081700000,0.3499,1784.83,-0.96,1.1704,1960.0,1914.48,1938.55,2023.7,1947.9,1933.09,14.81,2.5316,12.2784,62.47,2009.24,1914.58,1819.92,0.0989,30.68,881411100000.0
2016-03-04,2016,3,1,Friday,1994.01,2009.13,1986.77,1999.99,6049930000,0.3306,1791.06,-0.63,1.1691,1970.02,1918.65,1938.13,2023.06,1955.92,1938.04,17.88,5.6013,12.2787,63.46,2020.89,1918.81,1816.72,0.1064,30.08,887461030000.0
2016-03-07,2016,3,1,Monday,1996.11,2006.12,1989.38,2001.76,4968180000,0.0885,1792.74,-0.54,1.1693,1977.18,1922.76,1937.38,2022.44,1962.97,1942.76,20.21,8.523,11.687,63.74,2031.65,1924.89,1818.13,0.1109,29.13,892429210000.0
2016-03-08,2016,3,1,Tuesday,1996.88,1996.88,1977.43,1979.26,4641650000,-1.124,1771.46,-1.66,1.1148,1981.63,1927.48,1935.68,2021.68,1965.48,1945.47,20.01,10.8204,9.1896,57.72,2035.0,1931.19,1827.37,0.1075,28.79,887787560000.0
2016-03-09,2016,3,1,Wednesday,1981.44,1992.69,1979.84,1989.26,4038120000,0.5052,1780.92,-1.16,1.048,1989.78,1933.95,1934.25,2021.0,1969.13,1948.71,20.42,12.7403,7.6797,59.55,2037.92,1938.04,1838.15,0.1031,27.69,891825680000.0
2016-03-10,2016,3,1,Thursday,1990.97,2005.08,1969.25,1989.57,4376790000,0.0156,1781.21,-1.15,1.0466,1991.38,1940.49,1932.91,2020.42,1972.28,1951.74,20.54,14.3003,6.2397,59.61,2038.59,1944.92,1851.26,0.0963,28.27,896202470000.0
2016-03-11,2016,3,1,Friday,1994.71,2022.37,1994.71,2022.19,4078620000,1.6396,1812.06,0.47,1.0797,1996.49,1948.6,1931.79,2019.92,1979.96,1956.96,23.0,16.0402,6.9598,65.28,2037.12,1954.58,1872.04,0.0845,28.6,900281090000.0
2016-03-14,2016,3,1,Monday,2019.27,2024.57,2012.05,2019.64,3487850000,-0.1261,1809.64,0.35,1.0203,2000.24,1957.68,1930.91,2019.41,1986.06,1961.6,24.46,17.7242,6.7358,64.52,2038.17,1962.32,1886.47,0.0773,27.45,896793240000.0
2016-03-15,2016,3,1,Tuesday,2015.27,2015.94,2005.23,2015.93,3560280000,-0.1837,1806.14,0.16,0.9713,2002.52,1964.87,1930.35,2018.95,1990.66,1965.62,25.04,19.1873,5.8527,63.36,2040.92,1968.34,1895.75,0.0738,26.52,893232960000.0
2016-03-16,2016,3,1,Wednesday,2014.24,2032.02,2010.04,2027.22,4057020000,0.56,1816.81,0.72,0.9279,2006.15,1971.14,1930.64,2018.53,1996.28,1970.19,26.09,20.5679,5.5221,65.4,2047.72,1973.36,1899.0,0.0754,26.19,897289980000.0
